Name,API Name,Memory,vCPUs,Family,Type,Size,Ratio,Instance Storage,SSD/HDD?,GPUs,GPU model,GPU memory
R5 Metal,r5.metal,768,96,n1,highmem,96,8,0,,0,None,0 GiB
R5 Extra Large,r5.xlarge,32,4,n1,highmem,4,8,0,,0,None,0 GiB
R5A 12xlarge,r5a.12xlarge,384,48,n1,highmem,48,8,0,,0,None,0 GiB
R5A 16xlarge,r5a.16xlarge,512,64,n1,highmem,64,8,0,,0,None,0 GiB
R5A 24xlarge,r5a.24xlarge,768,96,n1,highmem,96,8,0,,0,None,0 GiB
R5A Double Extra Large,r5a.2xlarge,64,8,n1,highmem,8,8,0,,0,None,0 GiB
R5A Quadruple Extra Large,r5a.4xlarge,128,16,n1,highmem,16,8,0,,0,None,0 GiB
R5A Eight Extra Large,r5a.8xlarge,256,32,n1,highmem,32,8,0,,0,None,0 GiB
R5A Large,r5a.large,16,2,n1,highmem,2,8,0,,0,None,0 GiB
R5A Extra Large,r5a.xlarge,32,4,n1,highmem,4,8,0,,0,None,0 GiB
R5AD 12xlarge,r5ad.12xlarge,384,48,n1,highmem,48,8,1800,SSD,0,None,0 GiB
R5AD 24xlarge,r5ad.24xlarge,768,96,n1,highmem,96,8,3600,SSD,0,None,0 GiB
R5AD Double Extra Large,r5ad.2xlarge,64,8,n1,highmem,8,8,300,SSD,0,None,0 GiB
R5AD Quadruple Extra Large,r5ad.4xlarge,128,16,n1,highmem,16,8,600,SSD,0,None,0 GiB
R5AD Large,r5ad.large,16,2,n1,highmem,2,8,75,SSD,0,None,0 GiB
R5AD Extra Large,r5ad.xlarge,32,4,n1,highmem,4,8,150,SSD,0,None,0 GiB
R5D 12xlarge,r5d.12xlarge,384,48,n1,highmem,48,8,1800,SSD,0,None,0 GiB
R5D 16xlarge,r5d.16xlarge,512,64,n1,highmem,64,8,2400,SSD,0,None,0 GiB
R5D 24xlarge,r5d.24xlarge,768,96,n1,highmem,96,8,3600,SSD,0,None,0 GiB
R5D Double Extra Large,r5d.2xlarge,64,8,n1,highmem,8,8,300,SSD,0,None,0 GiB
