InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,SrNo,Marker
416099361,772228263286,,PayerLineItem,6800000233652333129,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBS:VolumeIOUsage,,1491653268,$0.05 per 1 million I/O requests - US West (Oregon),2020/03/01 0:00:00,2020/03/31 23:59:59,637096,,USD,0.03,0,0,None,0.03,330,PD Storage
416099361,772228263286,,PayerLineItem,6800000233652333130,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-APN2-AWS-Out-Bytes,,1000768255,$0.02 per GB - US West (Oregon) data transfer to Asia Pacific (Seoul),2020/03/01 0:00:00,2020/03/31 23:59:59,0.00545161,,USD,0,0,0,None,0,331,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333131,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-SpotUsage:m5.16xlarge,RunInstances:SV004,1490738188,m5.16xlarge Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #4,2020/03/21 6:00:00,2020/03/31 23:59:59,286.950551,0.3856862245,USD,310.48,0,0,None,310.48,332,Compute - SU
416099361,772228263286,,PayerLineItem,6800000233652333132,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-EU-AWS-In-Bytes,,1000768327,$0.00 per GB - US West (Oregon) data transfer from EU (Ireland),2020/03/01 0:00:00,2020/03/31 23:59:59,0.14075061,,USD,0,0,0,None,0,333,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333133,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-APE1-AWS-Out-Bytes,,1000767245,USD0.02 per GB for  in Asia Pacific (Hong Kong),2020/03/01 0:00:00,2020/03/31 23:59:59,0.00008587,,USD,0,0,0,None,0,334,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333134,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE1-CAN1-AWS-Out-Bytes,,1000767736,$0.02 per GB - US East (Northern Virginia) data transfer to Canada (Central),2020/03/01 0:00:00,2020/03/31 23:59:59,3.10E-07,,USD,0,0,0,None,0,335,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333135,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-SpotUsage:m5.2xlarge,RunInstances:SV001,1490743511,m5.2xlarge Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #1,2020/03/01 0:00:00,2020/03/24 2:00:00,299.074169,0.4019814099,USD,47.66,0,0,None,47.66,336,Compute - SU
416099361,772228263286,,PayerLineItem,6800000233652333136,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-SpotUsage:m5.xlarge,RunInstances:SV004,1490642696,m5.xlarge Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #4,2020/03/21 20:00:00,2020/03/23 0:00:00,5.716942,0.007684061828,USD,0.46,0,0,None,0.46,337,Compute - SU
416099361,772228263286,,PayerLineItem,6800000233652333137,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-SpotUsage:m5.8xlarge,RunInstances:SV001,1490771941,m5.8xlarge Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #1,2020/03/21 2:00:00,2020/03/31 12:00:00,236.009722,0.3172173683,USD,172.93,0,0,None,172.93,338,Compute - SU
416099361,772228263286,,PayerLineItem,6800000233652333138,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBSOptimized:p2.xlarge,Hourly,1491640196,$0.00 for 750 Mbps per p2.xlarge instance-hour (or partial hour),2020/03/01 0:00:00,2020/03/31 23:59:59,19516.16472,,USD,0,0,0,None,0,339,Others
416099361,772228263286,,PayerLineItem,6800000233652333139,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-SAE1-AWS-Out-Bytes,,1000768484,$0.02 per GB - US West (Oregon) data transfer to South America (Sao Paulo),2020/03/01 0:00:00,2020/03/31 23:59:59,0.00202949,,USD,0,0,0,None,0,340,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333140,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-APS1-AWS-In-Bytes,,1000750977,$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Singapore),2020/03/01 0:00:00,2020/03/31 23:59:59,0.91915717,,USD,0,0,0,None,0,341,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333141,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBSOptimized:m5.xlarge,Hourly,1491648261,$0.00 for 850 Mbps per m5.xlarge instance-hour (or partial hour),2020/03/01 0:00:00,2020/03/31 23:59:59,11.622497,,USD,0,0,0,None,0,342,Others
416099361,772228263286,,PayerLineItem,6800000233652333142,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSSupportBusiness,AWS Support (Business),"Amazon Web Services, Inc.",Dollar,,243785007,7% of monthly AWS usage from $10K-$80K,2020/03/01 0:00:00,2020/03/31 23:59:59,70000,,USD,4900,0,0,None,4900,343,Support
416099361,772228263286,,PayerLineItem,6800000233652333143,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,awskms,AWS Key Management Service,"Amazon Web Services, Inc.",ap-southeast-1-KMS-Requests,,899350391,$0.00 per request - Monthly Global Free Tier for KMS requests,2020/03/01 0:00:00,2020/03/31 23:59:59,63,,USD,0,0,0,None,0,344,Others
