PayerAccountName,ProductCode,UsageType,RateId,ItemDescription,UsageQuantity,BlendedRate,CostBeforeTax,TotalCost,Tax,SrNo,Tag
Alphasense Inc,AWSDataTransfer,EU-APS3-AWS-Out-Bytes,1698930970,$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Mumbai),0.00001151,,0,0,0,567,VM to VM Egress
Alphasense Inc,AWSQueueService,APS2-Requests-Tier1,1696977788,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",51,,0,0,0,568,Cloud Pub/Sub
Alphasense Inc,AWSDataTransfer,APS3-AFS1-AWS-In-Bytes,1698931633,USD 0.0 per GB for APS3-AWS-In-Bytes in Africa (Cape Town),8.00E-08,,0,0,0,569,VM to VM Ingress
Alphasense Inc,AmazonEC2,SpotUsage:t3.xlarge,1719504096,t3.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #6,136.405278,,7.61,7.61,0,570,Compute - SU
Alphasense Inc,AmazonCloudWatch,EU-CW:AlarmMonitorUsage,1682794285,$0.10 per alarm metric month (standard resolution) - EU (Ireland),15.97407248,,1.6,1.6,0,571,Cloud Monitoring
Alphasense Inc,AWSDataTransfer,USE1-APN3-AWS-Out-Bytes,1698932202,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Osaka-Local),5.00E-07,,0,0,0,572,VM to VM Egress
Alphasense Inc,AWSQueueService,EUW2-Requests-Tier1,1696977778,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",51,,0,0,0,573,Cloud Pub/Sub
Alphasense Inc,AmazonCloudFront,IN-Requests-HTTP-Proxy,1109507374,"$0.0090 per 10,000 Proxy HTTP Requests (India)",127274,,0.11,0.11,0,574,Cloud CDN
Alphasense Inc,AWSDataTransfer,USW1-EU-AWS-In-Bytes,1698649671,$0.00 per GB - US West (Northern California) data transfer from EU (Ireland),0.00000397,,0,0,0,575,VM to VM Ingress
Alphasense Inc,AWSDataTransfer,USE2-USW1-AWS-Out-Bytes,1698932465,$0.02 per GB - US East (Ohio) data transfer to US West (Northern California),2.60E-07,,0,0,0,576,VM to VM Egress
Alphasense Inc,AmazonCloudFront,US-Requests-HTTP-Proxy,1109507382,"$0.0075 per 10,000 Proxy HTTP Requests (US)",1494143,,1.12,1.12,0,577,Cloud CDN
Alphasense Inc,AmazonRDS,RDS:GP2-Storage,1730457424,$0.115 per GB-month of provisioned GP2 storage,5781.883533,,664.92,664.92,0,578,Cloud SQL
