InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,SrNo,Tag
160554237,596134326249,,PayerLineItem,6200000001419379077,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EUW3-DataTransfer-In-Bytes,,301279346,$0.000 per GB - data transfer in per month,2018/11/01 0:00:00,2018/11/30 23:59:59,4.00E-08,,USD,0,0,0,None,0,202,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379078,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",APS2-DataTransfer-Out-Bytes,,301278983,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,203,Network Egress
160554237,596134326249,,PayerLineItem,6200000001420214089,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-BoxUsage:t2.medium,RunInstances,308582593,$0.0464 per On Demand Linux t2.medium Instance Hour,2018/11/01 0:00:00,2018/11/30 23:59:59,720,,USD,33.41,0,0,None,33.41,204,Compute Engine
160554237,596134326249,,PayerLineItem,6200000001420214090,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",USW1-Requests-Tier2,,307442933,"$0.0044 per 10,000 GET and all other requests",2018/11/01 0:00:00,2018/11/30 23:59:59,7497083,,USD,3.3,0,0,None,3.3,205,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214091,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-BoxUsage:c5.2xlarge,RunInstances,308586184,$0.34 per On Demand Linux c5.2xlarge Instance Hour,2018/11/01 0:00:00,2018/11/07 0:32:37,1728,,USD,587.52,0,0,None,587.52,206,Compute Engine
160554237,596134326249,,PayerLineItem,6200000001420214092,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBS:VolumeIOUsage,,308579102,$0.05 per 1 million I/O requests - US West (Oregon),2018/11/01 0:00:00,2018/11/30 23:59:59,7880527,,USD,0.39,0,0,None,0.39,207,PD Storage
160554237,596134326249,,PayerLineItem,6200000001420214093,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",Requests-Tier2,,307443187,"$0.004 per 10,000 GET and all other requests",2018/11/01 0:00:00,2018/11/30 23:59:59,7344,,USD,0,0,0,None,0,208,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214094,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",Requests-Tier1,,307443210,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",2018/11/01 0:00:00,2018/11/30 23:59:59,99185,,USD,0.5,0,0,None,0.5,209,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214095,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-NatGateway-Bytes,NatGateway,308587908,$0.045 per GB Data Processed by NAT Gateways,2018/11/01 0:00:00,2018/11/30 23:59:59,5949.962047,,USD,267.75,0,0,None,267.75,210,Cloud NAT
160554237,596134326249,,PayerLineItem,6200000001420214096,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-LoadBalancerUsage,LoadBalancing:Application,308579054,$0.0225 per Application LoadBalancer-hour (or partial hour),2018/11/01 0:00:00,2018/11/30 23:59:59,8640,,USD,194.4,0,0,None,194.4,211,Load Balancer
